,no_of_items,variation,total,paid,change
452,2,1,122.0,150.0,28.0
453,1,1,200.0,200.0,0.0
454,4,2,347.0,1000.0,653.0
455,2,1,100.0,200.0,100.0
456,1,1,79.0,500.0,421.0
457,2,1,273.0,273.0,0.0
458,2,1,335.0,400.0,65.0
459,1,1,230.0,300.0,70.0
460,4,2,454.0,500.0,46.0
461,2,1,101.0,101.0,0.0
462,4,2,195.0,200.0,5.0
463,4,2,403.0,500.0,97.0
464,1,1,60.0,100.0,40.0
465,1,1,99.0,99.0,0.0
466,1,1,50.0,50.0,0.0
467,2,1,71.0,500.0,429.0
468,2,2,115.0,115.0,0.0
469,3,3,280.0,400.0,120.0
470,2,1,260.0,500.0,240.0
471,1,1,270.0,1000.0,730.0
472,3,2,110.0,110.0,0.0
473,2,2,110.0,110.0,0.0
474,1,1,55.0,100.0,45.0
475,1,1,94.0,100.0,6.0
476,1,1,100.0,100.0,0.0
477,5,2,823.0,823.0,0.0
478,2,2,119.0,1000.0,881.0
479,16,5,2304.0,3000.0,696.0
480,7,2,522.0,1000.0,478.0
481,5,2,785.0,1000.0,215.0
482,2,1,170.0,500.0,330.0
483,2,2,92.0,200.0,108.0
484,4,3,355.0,1000.0,645.0
485,4,2,718.0,718.0,0.0
486,7,4,618.0,1000.0,382.0
487,6,2,278.0,1000.0,722.0
488,2,1,154.0,154.0,0.0
489,4,2,1119.0,1119.0,0.0
490,4,3,342.0,1000.0,658.0
491,3,2,201.0,201.0,0.0
492,1,1,55.0,55.0,0.0
493,1,1,180.0,1000.0,820.0
494,3,2,245.0,500.0,255.0
495,2,1,140.0,140.0,0.0
496,2,1,100.0,100.0,0.0
497,1,1,104.0,200.0,96.0
498,4,3,680.0,680.0,0.0
499,3,2,205.0,1000.0,795.0
500,2,2,105.0,110.0,5.0
501,4,2,243.0,500.0,257.0
502,2,2,94.0,100.0,6.0
503,6,2,508.0,510.0,2.0
504,1,1,67.0,1000.0,933.0
505,2,1,115.0,115.0,0.0
506,4,3,312.0,1000.0,688.0
507,1,1,300.0,300.0,0.0
508,2,1,130.0,130.0,0.0
509,2,1,317.0,357.0,40.0
510,1,1,105.0,110.0,5.0
511,1,1,99.0,100.0,1.0
512,2,2,76.0,200.0,124.0
513,4,2,626.0,626.0,0.0
514,2,1,136.0,150.0,14.0
515,3,1,60.0,60.0,0.0
516,1,1,95.0,100.0,5.0
